Symbol	RAPdb	MSU	path
Cga1	Os02g0220400	LOC_Os02g12790	data/Gene/Abstract/C/Cga1
Chalk5	Os05g0156900	LOC_Os05g06480	data/Gene/Abstract/C/Chalk5
chi11	Os03g0132900	LOC_Os03g04060	data/Gene/Abstract/C/chi11
CHIA1;175	Os05g0399700	LOC_Os05g33150	data/Gene/Body/C/CHIA1;175
Chl1|OsChlD	Os03g0811100	LOC_Os03g59640	data/Gene/Abstract/C/Chl1~OsChlD
Chl9|OsChlI	Os03g0563300	LOC_Os03g36540	data/Gene/Abstract/C/Chl9~OsChlI
chlH	Os07g0656500	LOC_Os07g46310	data/Gene/Body/C/chlH
CHR729|OsCHD3|CRL6|RFS	Os07g0497100|Os07g0497000	LOC_Os07g31450	data/Gene/Abstract/C/CHR729~OsCHD3
CHS	Os11g0530600	LOC_Os11g32650	data/Gene/Body/C/CHS
Cht-2	Os05g0399300	LOC_Os05g33130	data/Gene/Abstract/C/Cht-2
Cht-3	Os06g0726100	LOC_Os06g51050	data/Gene/Abstract/C/Cht-3
CIGR1	Os07g0545800	LOC_Os07g36170	data/Gene/Abstract/C/CIGR1
CIGR2	Os07g0583600	LOC_Os07g39470	data/Gene/Abstract/C/CIGR2
CK2alpha2	Os07g0114400	LOC_Os07g02350	data/Gene/Abstract/C/CK2alpha2
CK2alpha3	Os03g0207300	LOC_Os03g10940	data/Gene/Abstract/C/CK2alpha3
CK2beta1	Os10g0564900	LOC_Os10g41520	data/Gene/Abstract/C/CK2beta1
CK2beta3	Os07g0495100	LOC_Os07g31280	data/Gene/Abstract/C/CK2beta3
CKI|EL1|Hd16	Os03g0793500	LOC_Os03g57940	data/Gene/Abstract/H/Hd16
CLA1|OsDXS1|OsDXS2	Os05g0408900	LOC_Os05g33840	data/Gene/Body/C/CLA1~OsDXS1~OsDXS2
CLPP4	Os10g0580800	LOC_Os10g43050	data/Gene/Abstract/C/CLPP4
CLPR4	Os01g0271400	LOC_Os01g16530	data/Gene/Body/C/CLPR4
COE1	Os08g0442700	LOC_Os08g34380	data/Gene/Abstract/C/COE1
COLD1	Os04g0600800	LOC_Os04g51180	data/Gene/Abstract/C/COLD1
COMT|OsCOMT	Os08g0157500	LOC_Os08g06100	data/Gene/Abstract/C/COMT
COP1|PPS	Os02g0771100	LOC_Os02g53140	data/Gene/Abstract/P/PPS
